id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,47267.0,893458656698,1,991913485908.0,22033520104.0,47976.0,46855.0,13.53,0.02864,-1554760344.9318848,-0.17371,18915593.0,21000000.0,21000000.0,69045.0,-31.73428,2021-11-10T14:24:11.849Z,67.81,69409.81573,2013-07-06T00:00:00.000Z,,2021-12-31T08:15:09.599Z,0.15877323967912954,0.02863972959918957,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3728.95,442899579190,2,,12160642150.0,3778.86,3690.98,5.67,0.15227,-1261698061.8154907,-0.28406,118963558.124,,,4878.26,-23.94225,2021-11-10T14:24:19.604Z,0.432979,856822.88766,2015-10-20T00:00:00.000Z,,2021-12-31T08:13:56.503Z,-0.1609445774583768,0.15226686040241177,104.64000081975044,btc,10464.000081975044
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,515.11,86330455888,3,86330455888.0,1717022768.0,529.26,509.54,-7.293173613703,-1.39609,-1701844813.019516,-1.9332,168137035.9,168137035.9,168137035.9,686.31,-25.37236,2021-05-10T07:24:17.097Z,0.0398177,1286198.51366,2017-10-19T00:00:00.000Z,,2021-12-31T08:15:18.537Z,0.23735467204615526,-1.396091717925633,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,78569170840,4,,44546556211.0,1.01,0.995588,-0.002450910031,-0.24358,-279928085.9622803,-0.35502,78336882506.7176,78336882506.7176,,1.32,-24.29716,2018-07-24T00:00:00.000Z,0.572521,74.94917,2015-03-02T00:00:00.000Z,,2021-12-31T08:14:21.985Z,0.697045808459844,-0.2435847923378723,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,174.02,53813193804,5,,1198914749.0,176.17,170.27,-0.125625122525,-0.07214,-222072812.7255783,-0.41098,309483995.097959,508180963.57,,259.96,-33.91275,2021-11-06T21:54:35.825Z,0.500801,34205.01123,2020-05-11T19:35:23.449Z,,2021-12-31T08:15:14.133Z,1.6945934078130647,-0.07213752815337796,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.33,42674657661,6,59886989297.0,989873886.0,1.38,1.32,-0.017907719184,-1.32551,-763111578.2740021,-1.75679,32066390668.4135,45000000000.0,45000000000.0,3.09,-57.02216,2021-09-02T06:00:10.474Z,0.01925275,6790.90151,2020-03-13T02:22:55.044Z,,2021-12-31T08:17:04.831Z,0.2766229375591108,-1.3255092041858212,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,42532633687,7,,2301783149.0,1.01,0.995429,0.00043806,0.04371,188984413.0,0.44631,42377837428.2381,42318526611.6052,,1.17,-14.45232,2019-05-08T00:40:28.300Z,0.891848,12.48811,2021-05-19T13:14:05.611Z,,2021-12-31T08:15:13.054Z,0.4614616869405491,0.043709166052254195,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.835924,39694065714,8,83503229932.0,2255678109.0,0.852192,0.828641,-0.001443974487,-0.17244,-132633191.0832901,-0.33303,47535964473.0,100000000000.0,100000000000.0,3.4,-75.46014,2018-01-07T00:00:00.000Z,0.00268621,30946.5631,2014-05-22T00:00:00.000Z,,2021-12-31T08:15:08.569Z,-0.08510287533051365,-0.17244198101691882,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,86.7,31396083532,9,86761115175.0,1733396804.0,87.63,83.56,0.304611,0.35259,-60014118.082962036,-0.19079,361868141.832043,833954797.985985,1000000000.0,103.34,-16.13798,2021-12-27T02:13:02.051Z,0.121798,71050.81083,2020-03-18T17:03:01.083Z,,2021-12-31T08:14:52.137Z,0.5181195144914408,0.3525890999207147,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,26.95,28811714869,10,,1001738609.0,28.39,26.57,-0.56230387501,-2.04358,-717589989.0580444,-2.43009,1069610825.71624,1150559958.87696,,54.98,-51.16867,2021-11-04T14:10:09.301Z,2.7,895.30499,2020-08-20T05:48:11.359Z,,2021-12-31T08:15:17.376Z,0.08483108164082713,-2.0435811915304036,,,
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,103.77,25263832958,11,74779588612.0,849286724.0,105.38,100.37,0.059382,0.05726,-15788042.074771881,-0.06245,243247657.114998,377752194.4695483,720000000.0,144.96,-28.48404,2021-11-21T14:18:56.538Z,2.8,3601.10761,2020-12-31T13:15:21.540Z,,2021-12-31T08:16:06.590Z,0.2910756675688998,0.057256246141136405,,,
