objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,department,objectName,title,culture,period,dynasty,reign
1,FALSE,1979.486.1,1979,FALSE,,,The American Wing,Coin,One-dollar Liberty Head Coin,,,,
2,FALSE,1980.264.5,1980,FALSE,,,The American Wing,Coin,Ten-dollar Liberty Head Coin,,,,
3,FALSE,67.265.9,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
4,FALSE,67.265.10,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
5,FALSE,67.265.11,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
6,FALSE,67.265.12,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
7,FALSE,67.265.13,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
8,FALSE,67.265.14,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
9,FALSE,67.265.15,1967,FALSE,,,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,
10,FALSE,1979.486.3,1979,FALSE,,,The American Wing,Coin,Two-and-a-half-dollar Indian Head Coin,,,,
11,FALSE,1979.486.2,1979,FALSE,,,The American Wing,Coin,Two-and-a-half-dollar Liberty Head Coin,,,,
12,FALSE,1979.486.7,1979,FALSE,,,The American Wing,Coin,Twenty-dollar Liberty Head Coin,,,,
13,FALSE,1979.486.4,1979,FALSE,,,The American Wing,Coin,Five-dollar Indian Head Coin,,,,
14,FALSE,1979.486.5,1979,FALSE,,,The American Wing,Coin,Five-dollar Liberty Head Coin,,,,
15,FALSE,16.74.49,1916,FALSE,,,The American Wing,Coin,"Coin, 1/2 Real",Mexican,,,
16,FALSE,16.74.27,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
17,FALSE,16.74.28,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
18,FALSE,16.74.29,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
19,FALSE,16.74.30,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
20,FALSE,16.74.31,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
21,FALSE,16.74.32,1916,FALSE,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,
22,FALSE,16.74.43,1916,FALSE,,,The American Wing,Coin,"Coin, 1/4 Real",Guatemalan,,,
23,FALSE,16.74.44,1916,FALSE,,,The American Wing,Coin,"Coin, 1/4 Real",Guatemalan,,,
24,FALSE,16.74.33,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
25,FALSE,16.74.34,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
26,FALSE,16.74.35,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
27,FALSE,16.74.36,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
28,FALSE,16.74.38,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
29,FALSE,16.74.39,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
30,FALSE,16.74.37,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
31,FALSE,16.74.40,1916,FALSE,,,The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,
32,FALSE,09.9.15,1909,FALSE,,,The American Wing,Pesos,"Coin, 20 Pesos",Mexican,,,
33,FALSE,64.62,1964,FALSE,,,The American Wing,Bust,Bust of Abraham Lincoln,American,,,
34,FALSE,1970.289.6,1970,TRUE,https://images.metmuseum.org/CRDImages/ad/original/204788.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/204788.jpg,The American Wing,Clock,Acorn Clock,American,,,
35,TRUE,04.1a–c,1904,FALSE,,,The American Wing,Vase,The Adams Vase,American,,,
