id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,46626.0,882357609207,1,979385933265.0,23207884731,47568.0,45811.0,-460.01840771718,-0.97698,-8440639159.726318,-0.94754,18919518.0,21000000.0,21000000.0,69045.0,-32.31252,2021-11-10T14:24:11.849Z,67.81,68821.03319,2013-07-06T00:00:00.000Z,,2022-01-04T08:38:42.996Z,0.11584253666446806,-0.9769807321816864,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3775.38,449572545986,2,,11917032346,3856.83,3695.89,-45.127229959279,-1.18118,-5085833846.062805,-1.11861,119018274.6865,,,4878.26,-22.45702,2021-11-10T14:24:19.604Z,0.432979,873556.66222,2015-10-20T00:00:00.000Z,,2022-01-04T08:37:05.152Z,0.278652579571924,-1.1811835893235487,107.3312997619828,btc,10733.129976198281
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,513.23,86344251038,3,86344251038.0,1445310170,533.11,504.5,-13.373940104516,-2.53965,-2197590269.2261963,-2.48198,168137035.9,168137035.9,168137035.9,686.31,-25.06743,2021-05-10T07:24:17.097Z,0.0398177,1291454.2212,2017-10-19T00:00:00.000Z,,2022-01-04T08:38:32.482Z,-0.004362691056868322,-2.539652004376693,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,78371451795,4,,51077061862,1.01,0.993097,-0.001246166477,-0.12429,-209351902.22018433,-0.26642,78237961181.5436,78237961181.5436,,1.32,-24.17502,2018-07-24T00:00:00.000Z,0.572521,75.23142,2015-03-02T00:00:00.000Z,,2022-01-04T08:38:23.380Z,-0.1428636311939819,-0.12428930140619798,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,169.22,52321824531,5,,1289613656,175.57,166.61,-4.145668574268,-2.39135,-1295950175.0310593,-2.41702,309283770.306616,508180963.57,,259.96,-34.87403,2021-11-06T21:54:35.825Z,0.500801,33706.02747,2020-05-11T19:35:23.449Z,,2022-01-04T08:37:51.343Z,0.5052705763642538,-2.39135291955672,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,42631870069,6,,2507064285,1.01,0.993857,-0.000358377624,-0.03579,-13002992.889038086,-0.03049,42606449246.9915,42606517528.1278,,1.17,-14.57278,2019-05-08T00:40:28.300Z,0.891848,12.32971,2021-05-19T13:14:05.611Z,,2022-01-04T08:39:48.049Z,-0.048162653943839874,-0.035793325224825284,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.33,42591514014,7,59770310617.0,898627001,1.38,1.3,-0.029306958062,-2.15724,-1028823268.5055237,-2.35859,32066390668.4135,45000000000.0,45000000000.0,3.09,-56.98109,2021-09-02T06:00:10.474Z,0.01925275,6797.48526,2020-03-13T02:22:55.044Z,,2022-01-04T08:37:31.517Z,0.5255263832586542,-2.1572419559134217,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.83098,39506446282,8,83108540491.0,2156161026,0.848695,0.82335,-0.012018194343,-1.42565,-566269270.0329666,-1.4131,47535964473.0,100000000000.0,100000000000.0,3.4,-75.53983,2018-01-07T00:00:00.000Z,0.00268621,30845.74054,2014-05-22T00:00:00.000Z,,2022-01-04T08:37:44.551Z,0.14479046256716946,-1.425649476074977,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,29.81,31950545696,9,,1507871099,30.81,28.9,0.894332,3.09289,968341150.0,3.12548,1070865844.26221,1151814977.1859,,54.98,-45.66129,2021-11-04T14:10:09.301Z,2.7,1007.55926,2020-08-20T05:48:11.359Z,,2022-01-04T08:39:43.339Z,-0.5293500442414338,3.0928909368824553,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,88.48,31906548742,10,88512451649.0,1675496108,94.08,86.8,-3.5865529276,-3.89564,-1365152090.7014923,-4.10304,360475256.845657,832374592.238123,1000000000.0,103.34,-14.20923,2021-12-27T02:13:02.051Z,0.121798,72687.21398,2020-03-18T17:03:01.083Z,,2022-01-04T08:38:10.414Z,-0.06328944851192658,-3.8956408994960077,,,
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,106.55,25999551783,11,76798156123.0,853621525,112.91,105.2,-5.195494457954,-4.64938,-1238282688.4735565,-4.54619,243751650.151468,377752194.4695483,720000000.0,144.96,-26.37704,2021-11-21T14:18:56.538Z,2.8,3710.14967,2020-12-31T13:15:21.540Z,,2022-01-04T08:37:26.921Z,0.10198762481737773,-4.649380213050074,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.171898,22812270021,12,,718785812,0.174074,0.167766,-0.00064945266,-0.37639,-74968910.09712219,-0.32756,132670764299.894,,,0.731578,-76.46549,2021-05-08T05:08:23.458Z,8.69e-05,198019.55384,2015-05-06T00:00:00.000Z,,2022-01-04T08:39:14.681Z,0.03179419900664214,-0.3763910105734425,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,3.305e-05,18165092312,13,,675091753,3.413e-05,3.254e-05,-7.37594e-07,-2.18305,-390770115.7851486,-2.10591,549149542950175.06,1000000000000000.0,,8.616e-05,-61.56383,2021-10-28T03:54:55.568Z,5.6e-11,58751480.54488,2020-11-28T11:26:25.838Z,,2022-01-04T08:37:56.498Z,0.28447417225659366,-2.183054494204581,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.43,16726595415,14,24337062015.0,1071279787,2.52,2.38,-0.055070693939,-2.21204,-384034989.3321171,-2.24442,6872890164.27,10000000000.0,10000000000.0,2.92,-16.34437,2021-12-27T02:08:34.307Z,0.00314376,77501.91874,2019-05-10T00:00:00.000Z,,2022-01-04T08:38:41.121Z,0.2681528664761882,-2.21204492038275,924.6700723082803,usd,92467.00723082802
