id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,42431.0,803335230340,1,891053649022.0,17787824146,43027.0,41641.0,-468.663545845659,-1.09246,-8998562565.955566,-1.10774,18932687.0,21000000.0,21000000.0,69045.0,-38.49079,2021-11-10T14:24:11.849Z,67.81,62530.17008,2013-07-06T00:00:00.000Z,,2022-01-18T01:21:38.826Z,-0.029380943508921013,-1.092461173434971,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3238.5,386043276328,2,,12061177747,3332.33,3156.67,-87.935712321453,-2.64354,-10601216436.896912,-2.67272,119204198.874,,,4878.26,-33.55645,2021-11-10T14:24:19.604Z,0.432979,748502.28564,2015-10-20T00:00:00.000Z,,2022-01-18T01:21:47.902Z,0.05977861851449711,-2.6435384255527414,101.10066712726572,btc,10110.066712726573
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,478.9,80490405514,3,80490405514.0,1764689279,495.19,469.3,-16.290777753392,-3.2898,-2781422260.2199707,-3.34017,168137035.9,168137035.9,168137035.9,686.31,-30.25211,2021-05-10T07:24:17.097Z,0.0398177,1202090.0287,2017-10-19T00:00:00.000Z,,2022-01-18T01:22:25.371Z,0.33153258782086475,-3.2897978678747815,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,78406553476,4,,45684756019,1.01,0.995371,0.00142632,0.14265,107994848.0,0.13793,78304569300.6615,78304569300.6615,,1.32,-24.253,2018-07-24T00:00:00.000Z,0.572521,75.05123,2015-03-02T00:00:00.000Z,,2022-01-18T01:20:58.839Z,-0.19253124302322608,0.14264939257238107,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.59,51018165051,5,71595754291.0,5056518683,1.61,1.39,0.193574,13.84831,6149749317.0,13.70619,32066390668.4135,45000000000.0,45000000000.0,3.09,-48.43716,2021-09-02T06:00:10.474Z,0.01925275,8167.38633,2020-03-13T02:22:55.044Z,,2022-01-18T01:23:22.106Z,-1.0231702722449993,13.848313381707083,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,45611453400,6,,2621077850,1.01,0.996558,0.00206913,0.20699,124226610.0,0.2731,45529178520.7229,45535554346.2459,,1.17,-14.57305,2019-05-08T00:40:28.300Z,0.891848,12.32936,2021-05-19T13:14:05.611Z,,2022-01-18T01:21:45.434Z,-0.035196367712694694,0.20698607817391107,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,141.6,44481187439,7,,1351519094,146.42,137.28,-4.813238030098,-3.28732,-1539516511.8178406,-3.34527,314152524.672388,508180963.57,,259.96,-45.53331,2021-11-06T21:54:35.825Z,0.500801,28172.93297,2020-05-11T19:35:23.449Z,,2022-01-18T01:22:31.745Z,0.14689223226199805,-3.2873227412282087,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.768254,36618992235,8,76828780936.0,2048246468,0.777629,0.751883,-0.008082062313,-1.04105,-374068084.47439575,-1.01118,47663117635.0,100000000000.0,100000000000.0,3.4,-77.38121,2018-01-07T00:00:00.000Z,0.00268621,28516.12082,2014-05-22T00:00:00.000Z,,2022-01-18T01:22:47.859Z,0.19153471904200264,-1.041051781531926,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,78.37,28057014811,9,78362140222.0,1796556541,86.56,76.31,-7.897953623271,-9.15492,-2883642731.158371,-9.31991,358042987.748097,826270736.966332,1000000000.0,103.34,-24.2171,2021-12-27T02:13:02.051Z,0.121798,64196.26254,2020-03-18T17:03:01.083Z,,2022-01-18T01:22:51.464Z,1.2829840613567338,-9.15491993279119,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,25.87,27796954521,10,,1200662593,27.47,25.2,-1.595928915383,-5.81017,-1728465065.5001068,-5.85416,1074793394.561,1155742528.53101,,54.98,-52.9422,2021-11-04T14:10:09.301Z,2.7,859.15603,2020-08-20T05:48:11.359Z,,2022-01-18T01:22:15.421Z,0.10524357278739321,-5.810173839361908,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.17256,22897929626,11,,1104520098,0.17685,0.16606,-0.004290168005,-2.42588,-568410284.5542908,-2.42224,132670764299.894,,,0.731578,-76.38833,2021-05-08T05:08:23.458Z,8.69e-05,198669.07095,2015-05-06T00:00:00.000Z,,2022-01-18T01:22:52.487Z,-0.6077947819696414,-2.425883089057722,,,
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,87.24,21313056676,12,62799818107.0,603483524,91.8,85.89,-4.559253877865,-4.96641,-1117778160.9567451,-4.98322,244354223.772816,377752194.4695483,720000000.0,144.96,-39.81652,2021-11-21T14:18:56.538Z,2.8,3014.62726,2020-12-31T13:15:21.540Z,,2022-01-18T01:23:10.737Z,0.15277776678211297,-4.966413128437478,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,2.942e-05,16153197097,13,,686409081,3.035e-05,2.836e-05,-8.99846e-07,-2.96819,-506514244.0917778,-3.04035,549148943174959.1,1000000000000000.0,,8.616e-05,-65.85961,2021-10-28T03:54:55.568Z,5.6e-11,52185167.87351,2020-11-28T11:26:25.838Z,,2022-01-18T01:23:11.860Z,0.3861289754602405,-2.9681871638119737,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.24,15375644162,14,22371438790.0,1337005985,2.44,2.17,-0.16647939085,-6.92237,-1101377892.0858574,-6.68433,6872890164.27,10000000000.0,10000000000.0,2.92,-23.28805,2021-12-27T02:08:34.307Z,0.00314376,71060.71286,2019-05-10T00:00:00.000Z,,2022-01-18T01:22:39.283Z,0.27674335623086543,-6.922372241909002,850.1284085380871,usd,85012.84085380871
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,14304456013,15,,3286008379,1.01,0.99573,0.00138304,0.13839,-135404498.10578918,-0.93771,14293945855.19,14293945855.19,,1.15,-13.2965,2020-03-13T02:35:42.953Z,0.901127,11.05372,2021-05-19T13:04:37.445Z,,2022-01-18T01:23:02.915Z,-0.3144475635306552,0.13839076504593312,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,39.93,11436896528,16,,1317630903,43.68,38.39,-3.13641353284,-7.28317,-911971369.9873428,-7.38506,286283214.708638,,,44.45,-10.09657,2022-01-17T00:34:41.497Z,1.16,3344.67892,2020-03-13T02:27:44.591Z,,2022-01-18T01:22:37.017Z,0.35697406415540567,-7.283166479843081,398.2745904950717,usd,39827.45904950717
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.449932,11365464076,17,,133297304,0.460094,0.438265,-0.010161806365,-2.20864,-266136575.65847206,-2.28805,25263013692.0,30263013692.0,,0.965407,-53.3994,2021-11-24T15:53:54.855Z,0.0121196,3612.04996,2019-02-08T00:00:00.000Z,,2022-01-18T01:22:47.121Z,0.4384228327625731,-2.2086384339841376,,,
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,24.25,11323115548,19,24246004304.0,850589146,25.38,23.35,-1.115142822537,-4.39705,-514617521.4940491,-4.34726,467009549.5205637,1000000000.0,1000000000.0,52.7,-54.00534,2021-05-10T00:13:57.214Z,0.148183,16256.52508,2017-11-29T00:00:00.000Z,,2022-01-18T01:21:48.563Z,1.17045818368996,-4.397051982580652,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,42442.0,11320850385,18,11320850385.0,282605612,43032.0,41670.0,-490.425952130674,-1.14232,-129008285.8482933,-1.12672,266780.84401808,266780.84401808,266780.84401808,70643.0,-39.92483,2021-11-10T14:40:19.650Z,3139.17,1251.92103,2019-04-02T00:00:00.000Z,,2022-01-18T01:22:57.353Z,0.01971351977982048,-1.1423212032808194,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,18.15,11173339616,20,18160064915.0,742616311,19.85,17.42,-1.693193317568,-8.53123,-1030058351.4168339,-8.44075,615269805.950044,1000000000.0,1000000000.0,20.44,-11.14612,2022-01-16T22:09:45.873Z,0.526762,3347.48654,2020-11-04T16:09:15.137Z,,2022-01-18T01:22:46.931Z,0.6495328336934759,-8.531225278500946,,,
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,10755069700,21,,222651145,1.01,0.99632,0.00125764,0.12585,69347743.0,0.64898,10737173429.2471,10737557986.4541,,1.09,-8.36432,2021-01-11T22:30:57.984Z,0.857992,16.61838,2021-05-19T13:14:26.898Z,,2022-01-18T01:22:48.850Z,-0.29350681334632267,0.1258463869760312,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,152.63,10601559394,22,12824837176.0,1499778162,153.6,144.74,6.76,4.63195,472915307.0,4.66909,69437995.7334713,84000000.0,84000000.0,410.26,-62.74099,2021-05-10T03:13:07.904Z,1.15,13205.46036,2015-01-14T00:00:00.000Z,,2022-01-18T01:22:00.942Z,0.18430126419517237,4.631948647784093,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,9332164073,23,9332164073.0,557009882,1.01,0.994844,0.00173897,0.17402,84787729.0,0.91688,9322501604.34232,9322501604.34232,9322501604.34232,1.22,-17.87583,2020-03-13T03:02:50.373Z,0.903243,10.82692,2019-11-25T00:04:18.137Z,,2022-01-18T01:21:16.900Z,-0.2451905867408839,0.17401932410132304,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.36,8813889868,24,13603612947.0,278943376,1.43,1.34,-0.052414566253,-3.71041,-335567876.87872887,-3.66763,6479080154.87844,6922950168.8689,10000000000.0,3.56,-61.79389,2019-06-20T14:51:19.480Z,0.105336,1191.66174,2020-03-13T02:20:48.438Z,,2022-01-18T01:23:07.972Z,0.5648712560885645,-3.7104111616411894,-0.43324149110771876,usd,-43.32414911077188
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,16.9,7648846767,25,16909592539.0,236842359,17.93,16.33,-0.842099110408,-4.745,-366318567.6282902,-4.57032,452337733.7100116,1000000000.0,1000000000.0,44.92,-62.35336,2021-05-03T05:25:04.822Z,1.03,1541.48902,2020-09-17T01:20:38.214Z,,2022-01-18T01:23:09.120Z,-0.03266820774223254,-4.744999913329471,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.97,7557226472,26,9442247904.0,1596856382,3.26,2.9,-0.286353897989,-8.78335,-744442162.9878273,-8.96738,2541152731.01,3175000000.0,3175000000.0,3.46,-14.03524,2021-10-28T05:19:39.845Z,0.00190227,156195.11009,2020-03-13T02:25:38.280Z,,2022-01-18T01:22:47.894Z,0.32427381015643314,-8.783352381476604,98.1278404593595,usd,9812.78404593595
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,393.02,7412762753,27,8211082883.0,1521958309,391.81,373.51,7.16,1.8552,82339227.0,1.12325,18958281.1466523,21000000.0,21000000.0,3785.82,-89.64955,2017-12-20T00:00:00.000Z,76.93,409.32674,2018-12-16T00:00:00.000Z,,2022-01-18T01:21:57.272Z,2.3555657247098356,1.8552046797946162,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.070215,7150294700,28,,1019429627,0.072217,0.068882,-0.000203245684,-0.28863,-15639236.024440765,-0.21824,101826314624.918,101900409184.273,,0.231673,-69.66941,2018-01-05T00:00:00.000Z,0.00180434,3794.36818,2017-11-12T00:00:00.000Z,,2022-01-18T01:22:26.425Z,-1.6077485078724287,-0.2886269296216523,35.95520177236411,usd,3595.520177236411
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,26.62,6993080687,29,,206280835,28.23,25.93,-1.217422444955,-4.37261,-238990530.5864191,-3.30459,262680011.32,300000000.0,,44.01,-39.49649,2021-05-03T01:03:16.108Z,0.580608,4485.66751,2019-01-14T00:00:00.000Z,,2022-01-18T01:22:36.132Z,0.4220528834141552,-4.372611085404842,,,
